PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
89396	-9	com.apple.progressd
-	0	com.apple.enhancedloggingd
22759	0	application.com.google.Chrome.304558.358324922.ED91C359-567C-4DE0-B0BB-6575326EA7BE
89383	-9	com.apple.cloudphotod
6586	-9	com.apple.MENotificationService
1422	0	com.apple.Finder
86047	-9	com.apple.homed
89393	-9	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
-	0	us.zoom.updater
-	0	com.fortinet.fssoagent_launchagent
1270	0	com.apple.mediaremoteagent
1256	0	com.apple.FontWorker
64134	-9	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	-9	com.apple.knowledgeconstructiond
94986	-9	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
28405	0	com.apple.GameController.gamecontrolleragentd
1641	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
1008	0	com.apple.nsurlsessiond
76815	-9	com.apple.devicecheckd
-	0	com.figma.Desktop.ShipIt
-	0	com.apple.syncservices.uihandler
29987	-9	com.apple.iconservices.iconservicesagent
-	-9	com.apple.diagnosticextensionsd
73737	-9	com.apple.intelligenceplatformd
57814	-9	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
15912	-9	com.apple.LinkedNotesUIService
67495	-9	com.apple.ndoagent
1426	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
-	-9	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
61562	-9	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
-	-9	com.apple.appleaccounttransparencyd
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
73867	-9	com.apple.ManagedSettingsAgent
89367	-9	com.apple.photolibraryd
-	0	com.docker.helper
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
-	-9	com.apple.ThreadCommissionerService
92831	-9	com.apple.tipsd
-	-9	com.apple.stickersd
-	-9	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
1539	0	com.apple.TextInputMenuAgent
2432	0	application.com.microsoft.VSCode.348429441.348429447
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
1540	0	com.microsoft.teams2.agent
-	0	com.apple.MRTa
63226	-9	com.apple.CommCenter
1029	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
969	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
-	0	com.apple.CoreDevice.remotepairingd
64186	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	-9	com.apple.facetimemessagestored
-	-9	com.apple.AutoFillPanel
2113	0	com.apple.peopled
-	0	com.apple.remotecompositorclientd
-	0	com.apple.PosterBoard
64730	-9	com.apple.replicatord
62596	-9	com.apple.keyboardservicesd
61066	-9	com.apple.accessibility.axassetsd
-	0	dev.aurora.backlog-dispatch
51250	-9	com.apple.quicklook.ThumbnailsAgent
2115	0	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
1238	0	com.apple.WindowManager.agent
77995	-9	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
1640	0	application.com.fortinet.forticlient.macos.vpn.35034818.35034992
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.xpc.loginitemregisterd
-	-9	com.apple.webprivacyd
84915	-9	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
11941	-9	com.apple.voicebankingd
-	0	com.apple.gamesaved
-	0	com.apple.universalaccesscontrol
62595	-9	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
1033	0	com.apple.ScreenTimeAgent
2081	0	application.com.DanPristupov.Fork.355314247.355314464
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.arkitd
-	0	com.apple.systemprofiler
-	-9	com.apple.homeenergyd
63232	-9	com.apple.cloudd
-	-9	com.apple.noticeboard.agent
49198	0	com.apple.UserNotificationCenterAgent
1093	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.tradingview.tradingviewapp.desktop.ShipIt
2844	0	application.ai.elementlabs.lmstudio.352903588.352904209
-	0	com.apple.ATS.FontValidator
1538	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
1685	0	com.apple.LocalAuthentication.UIAgent
57758	-9	com.apple.ap.adprivacyd
-	0	com.apple.callhistoryd
-	-9	com.apple.ap.promotedcontentd
-	-9	com.apple.apfsuseragent
-	-9	com.apple.intelligencetasksd
78488	-9	com.apple.networkserviceproxy
1192	0	com.apple.controlcenter
89363	-9	com.apple.contacts.postersyncd
-	0	com.apple.AMPLibraryAgent
2408	0	com.openssh.ssh-agent
69301	0	application.com.docker.docker.355797340.355797495
26920	-9	com.apple.amsondevicestoraged
-	-9	com.apple.tonelibraryd
89365	-9	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
45610	-9	com.apple.ctcategories.service
64636	-9	com.apple.ctkd
-	0	com.apple.package-script-service
12163	-9	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
6676	0	application.com.mitchellh.ghostty.349004078.349004083
-	0	com.apple.mediacontinuityd
-	-9	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
79323	-9	com.apple.synapse.contentlinkingd
16762	0	com.microsoft.update.agent
-	-9	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
